# Секція категорій — можна редагувати в Excel
id,назва,emoji,порядок
protein,"Протеїни",🥛,1
gainer,"Гейнери",🏋️,2
creatine,"Креатин",⚡,3
amino,"Амінокислоти / BCAA",🧬,4
preworkout,"Передтренувальні",🔥,5
vitamins,"Вітаміни / мінерали",💊,6
fatburner,"Жироспалювачі",🔥,8
accessories,"Аксесуари",🥤,9
isotonic,"Ізотоніки",🧃,11
adaptogeny,"Адаптогени",📦,14
omega-3-ta-zhyrni-kyslot,"Омега-3 та жирні кислоти",📦,17
son-i-nervova-systema,"Сон і нервова система",📦,20
zdorovya-ta-vidnovlennya,"Здоров'я та відновлення",📦,21
krasa-i-zdorovya-shkiry-,"Краса і здоров'я шкіри, нігтів, волосся",📦,22
dlya-mozku,"Для мозку",📦,25
zdorovya-suglobiv-i-zvya,"Здоров’я суглобів і зв’язок",📦,26
nad,"NAD+",📦,28
dlya-pechinky,"Для печінки",📦,29
dlya-shlunku-ta-probioty,"Для шлунку та пробіотики",📦,30
protyzapalni-kompleksy,"Протизапальні комплекси",📦,31
gormonalna-pidtrymka,"Гормональна підтримка",📦,32
dlya-pidtrymky-sertsya-i,"Для підтримки серця і кровообігу",📦,33

# Секція товарів — можна редагувати в Excel
# Колонка E (собівартість) — для власного аналізу маржі, каса її ігнорує
id,категорія,назва,кількість,собівартість,ціна продажу
395,isotonic,"Ізотонік Pharmic Research Isotonic Drink - 500 грам",20,,960
399,protein,"Сироватковий протеїн концентрат, HS Labs, WHEY PRO 2.0 - 2270 грам",20,,2900
466,adaptogeny,"Ашваганда органічна 675 мг Pure Nutrition USA – 60 таблеток",20,,750
493,fatburner,"Жироспалювач Pure Nutrition USA SUPER FAT BURNER - 60 капсул",20,,600
499,amino,"Аргінін Pure Nutrition USA L-ARGININE CAPSULES — 100 капсул",20,,800
502,omega-3-ta-zhyrni-kyslot,"Омега-3, Риб’ячий жир Pure Nutrition USA 1000 мг - 180 EPA / 120 DHA- 100 капсул",20,,450
504,creatine,"Креатин моногідрат Pure Nutrition USA Pure Creatine - 500 грам",20,,1500
507,omega-3-ta-zhyrni-kyslot,"Лінолева кислота Pure Nutrition USA CLA 800 мг - 80 капсул",20,,560
515,vitamins,"Магній комплекс (Mg Oxide + Mg Citrate) Pure Nutrition USA - 60 капсул",20,,600
518,son-i-nervova-systema,"Мелатонін Pure Nutrition USA 3 мг - 100 капсул",20,,550
529,vitamins,"Вітаміни для волосся Pure Nutrition USA GREAT HAIR - 30 таб",20,,900
539,vitamins,"Мультивітамінний комплекс COMPLETE MULTI - 90 таб",20,,1990
545,fatburner,"Жироспалювач HS Labs THERMO BURNER - 90 капсул",20,,600
